_id,isActive,Category,name,price,display,purchase,unitWeight,image
219,true,3005,"עגבניות שרי - כבושות  0.5 ק""ג",14.9,Units,Units,,ProdPic/default.jpg
220,true,3005,"עגבניות  ירוקות - כבושות  0.5 ק""ג",14.9,Units,Units,,ProdPic/default.jpg
221,true,3005,"מסייר - ירקות כבושים  1 ק""ג",16,Units,Units,,ProdPic/default.jpg
222,true,3005,"כרוב אדום עם טיפטופי לימון 1 ק""ג",19.9,Units,Units,,ProdPic/default.jpg
223,true,3005,"כרוב לבן עם טיפטופי לימון 1 ק""ג",19.9,Units,Units,,ProdPic/default.jpg
224,true,3005,"כרוב לבן עם טיפטופי לימון וכוסברה 1 ק""ג",19.9,Units,Units,,ProdPic/default.jpg
225,true,3005,זיתים מיוחדים - סורי 100 גר' ,6.9,Units,Units,,ProdPic/default.jpg
226,true,3005,זיתים מיוחדים - שחורים 100 גר' ,6.9,Units,Units,,ProdPic/default.jpg
227,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,6.9,Units,Units,,ProdPic/default.jpg
228,true,3005,"מלפפון הבית במלח 0.5 ק""ג  ",16.45,Units,Units,,ProdPic/default.jpg
229,true,3005,"מלפפון הבית בחומץ 0.5 ק""ג ",16.45,Units,Units,,ProdPic/default.jpg
230,true,3006,סלט צ'רשי - ממרח דלעת טריפוליטאי 250 גר',9.5,Units,Units,,ProdPic/default.jpg
231,true,3006,פלפל צ'ומה 250 גר',11.5,Units,Units,,ProdPic/default.jpg
232,true,3006,סחוג ירוק / אדום  150 גר',12.9,Units,Units,,ProdPic/default.jpg
233,true,3006,אריסה 250 גר',13.9,Units,Units,,ProdPic/default.jpg
234,true,3006,פלפל שיפקונית - 250 גר',9.5,Units,Units,,ProdPic/default.jpg
235,true,3006,פלפל חריף מטוגן שלם 500 גר' ,14.9,Units,Units,,ProdPic/default.jpg
236,true,4004,לבבות חסה - שטופים 250 גר' ,9.9,Units,Units,,ProdPic/default.jpg
237,true,4004,"לבבות חסה - שטופים 1 ק""ג ",29,Units,Units,,ProdPic/default.jpg
238,true,4004,לבבות חסה - אלון ירוק 250 גר',9.9,Units,Units,,ProdPic/default.jpg
239,true,4004,לבבות חסה - אלון אדום 250 גר',9.9,Units,Units,,ProdPic/default.jpg
240,true,4004,מיקס עליי בייבי - 250 גר',15.9,Units,Units,,ProdPic/default.jpg
241,true,4004,"מיקס עליי בייבי 0.5 ק""ג ",28,Units,Units,,ProdPic/default.jpg
242,true,4004,"עגבניות שרי כתומות 1 ק""ג",19.9,Units,Units,,ProdPic/default.jpg
243,true,4004,"עגבניות שרי מיקס 1 ק""ג",19.9,Units,Units,,ProdPic/default.jpg
244,true,4004,עגבניות שרי מיקס כ- 250 גר',13.5,Units,Units,,ProdPic/default.jpg
245,true,4004,"פטריות פורטובלו 0.5 ק""ג",49,Units,Units,,ProdPic/default.jpg
246,true,4004,"פטריות יער 0.5 ק""ג ",49,Units,Units,,ProdPic/default.jpg
247,true,4004,גזר צבעוני כ- 10 יח',24,Units,Units,,ProdPic/default.jpg
248,true,4004,עלי תבלין טריים - טימין כ- 130 גר' ,7.9,Units,Units,,ProdPic/default.jpg
249,true,4004,עלי תבלין טריים - טרגון כ- 130 גר',7.9,Units,Units,,ProdPic/default.jpg
250,true,4004,עלי תבלין טריים - זעתר כ- 130 גר',7.9,Units,Units,,ProdPic/default.jpg
251,true,4004,עלי תבלין טריים - עירית כ- 130 גר',7.9,Units,Units,,ProdPic/default.jpg
252,true,4004,עלי תבלין טריים - רוקט כ- 130 גר',7.9,Units,Units,,ProdPic/default.jpg
253,true,4004,נבטי חמניות כ- 130 גר' ,8.9,Units,Units,,ProdPic/default.jpg
254,true,4004,נבטי ברוקלי כ- 130 גר' ,8.9,Units,Units,,ProdPic/default.jpg
255,true,4004,נבטי צנונית כ- 130 גר',8.9,Units,Units,,ProdPic/default.jpg
256,true,4004,"בצל סגול - מקולף שלם 1 ק""ג ",8.9,Units,Units,,ProdPic/default.jpg
257,true,4004,"תפוח אדמה זעיר  1 ק""ג ",8.6,Units,Units,,ProdPic/default.jpg
258,true,4004,"תפ""א ליפס  1 ק""ג ",8.9,Units,Units,,ProdPic/default.jpg
259,true,4004,"תפו""א באטר  1 ק""ג ",8.7,Units,Units,,ProdPic/default.jpg
260,true,4004,"תפו""א באטר - מתוק - מיוחד לאפיה  1 ק""ג ",8.9,Units,Units,,ProdPic/default.jpg
261,true,6001,תפוז סחוט טבעי  5 ליטר ,37,Units,Units,,ProdPic/default.jpg
262,true,6001,לימונדה טבעית 5 ליטר ,37,Units,Units,,ProdPic/default.jpg
263,true,6001,אשכולית אדומה סחוטה 5 ליטר ,37,Units,Units,,ProdPic/default.jpg
264,true,6001,תפוח עץ סחוט 2 ליטר ,27,Units,Units,,ProdPic/default.jpg
265,true,6001,"קוביות קרח 5 ק""ג ",20,Units,Units,,ProdPic/default.jpg
