_id,isActive,category ,name,price,display,purchase,unitWeight,image
1158,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim22
1159,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim23
1160,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,
1161,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,
1162,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,
1163,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,
1164,true,3005,"מלפפון הבית במלח 0.5 ק""ג  ",16.45,Units,Units,,hamozim
1165,true,3005,"מלפפון הבית בחומץ 0.5 ק""ג ",16.45,Units,Units,,hamozim4
1166,true,3006,סלט צ'רשי - ממרח דלעת טריפוליטאי 250 גר',9.5,Units,Units,,
1167,true,3006,פלפל צ'ומה 250 גר',11.5,Units,Units,,
1168,true,3006,סחוג ירוק / אדום  150 גר',12.9,Units,Units,,
1169,true,3006,אריסה 250 גר',13.9,Units,Units,,
1170,true,3006,פלפל שיפקונית - 250 גר',9.5,Units,Units,,
1171,true,3006,פלפל חריף מטוגן שלם 500 גר' ,14.9,Units,Units,,
1172,true,4004,פירות,,Units,Units,,peyrot
1173,true,4004,פירות,,Units,Units,,peyrot3
1174,true,4004,ירקות אווירה,,Units,Units,,
1175,true,4004,ירקות - סל טנא,,Units,Units,,yrakot
1176,true,4004,,,Units,Units,,yrakot4
1177,true,4004,אננס,,Units,Units,,anans
1178,true,4004,אפרסק,,Units,Units,,afarsek
1179,true,4004,מנגו,,Units,Units,,mango
1180,true,4004,ענבים,,Units,Units,,anavim
1181,true,4004,מלון,,Units,Units,,melon1
1182,true,4004,אגס,,Units,Units,,agas
1183,true,4004,קלמנטינה,,Units,Units,,klmantina
1184,true,4004,קיווי,,Units,Units,,kiwi
1185,true,4004,פטל שחור,,Units,Units,,petelshacor
1186,true,4004,תפוז דם,,Units,Units,,tapuzdam
1187,true,4004,אבטיח,,Units,Units,,avatiach
1188,true,4004,שזיף אדום - סנטה רוזה,,Units,Units,,shezifadom
1189,true,4004,בטטה,,Units,Units,,batata
1190,true,4004,דלורית,,Units,Units,,dalorit
1191,true,4004,לבבות חסה - שטופים 250 גר' ,9.9,Units,Units,,
1192,true,4004,"לבבות חסה - שטופים 1 ק""ג ",29,Units,Units,,
1193,true,4004,לבבות חסה - אלון ירוק 250 גר',9.9,Units,Units,,
1194,true,4004,לבבות חסה - אלון אדום 250 גר',9.9,Units,Units,,
1195,true,4004,מיקס עליי בייבי - 250 גר',15.9,Units,Units,,
1196,true,4004,"מיקס עליי בייבי 0.5 ק""ג ",28,Units,Units,,
1197,true,4004,"עגבניות שרי כתומות 1 ק""ג",19.9,Units,Units,,
1198,true,4004,"עגבניות שרי מיקס 1 ק""ג",19.9,Units,Units,,agvaniotsheritamar
1199,true,4004,עגבניות שרי מיקס כ- 250 גר',13.5,Units,Units,,agvaniotsheri.jpg
1200,true,4004,עגבניות שרי צהובות,,Units,Units,,agvaniotsherizaov
1201,true,4004,עגבניה פרוסה,,Units,Units,,
1202,true,4004,עגבניה שלמה ,,Units,Units,,agvaniia
1203,true,4004,אספרגוס,,Units,Units,,aspargus
1204,true,4004,"פטריות פורטובלו 0.5 ק""ג",49,Units,Units,,pitriotportobelo
1205,true,4004,"פטריות יער 0.5 ק""ג ",49,Units,Units,,pitriotyar
1206,true,4004,פטריות שמפיניון סלסלה,,Units,Units,,pitriotshampinion
1207,true,4004,פטריות מלך היער,,Units,Units,,pitriotmelechhyar
1208,true,4004,פטריות שיטאקי,,Units,Units,,pitriotshitaki
1209,true,4004,גזר צבעוני כ- 10 יח',24,Units,Units,,gezerzivoni
1210,true,4004,עלי תבלין טריים - טימין כ- 130 גר' ,7.9,Units,Units,,timin
1211,true,4004,עלי רוזמרין טריים - כ- 130 גר' ,,Units,Units,,rozmzrin
1212,true,4004,עלי תבלין טריים - טרגון כ- 130 גר',7.9,Units,Units,,targon
1213,true,4004,עלי תבלין טריים - זעתר כ- 130 גר',7.9,Units,Units,,aleytavlin
1214,true,4004,עלי תבלין טריים - עירית כ- 130 גר',7.9,Units,Units,,
1215,true,4004,עלי תבלין טריים - רוקט כ- 130 גר',7.9,Units,Units,,
1216,true,4004,נבטי חמניות כ- 130 גר' ,8.9,Units,Units,,nivtayhamnia
1217,true,4004,נבטי ברוקלי כ- 130 גר' ,8.9,Units,Units,,
1218,true,4004,נבטי צנונית כ- 130 גר',8.9,Units,Units,,nivtayznonit
1219,true,4004,נבטי אלפלפא,,Units,Units,,nivteyalfalfa
1220,true,4004,"בצל סגול - מקולף שלם 1 ק""ג ",8.9,Units,Units,,basaladommekolaf
1221,true,4004,"בצלל סגול - מקולף פרוס 0.5 ק""ג",7,Units,Units,,bazal sagol
1222,true,4004,"תפוח אדמה זעיר  1 ק""ג ",8.6,Units,Units,,
1223,true,4004,"תפ""א ליפס  1 ק""ג ",8.9,Units,Units,,taphchadama
1224,true,4004,"תפו""א באטר  1 ק""ג ",8.7,Units,Units,,
1225,true,4004,"תפו""א באטר - מתוק - מיוחד לאפיה  1 ק""ג ",8.9,Units,Units,,
1226,true,4004,אנדיב,,Units,Units,,andiv
1227,true,4004,נבטי עדשים,,Units,Units,,nivteyadashim
1228,true,4004,פטרוזיליה,,Units,Units,,petrozilia
1229,true,4004,כוסברה,,Units,Units,,cosbara
1230,true,4004,נענע,,Units,Units,,nana
1231,true,4004,שיני שום קלופות,,Units,Units,,somkalof
1232,true,4004,ראש שום,,Units,Units,,som
1233,true,4004,תערובת פיצוחים,,Units,Units,,tarovrtpituchim
1234,true,5001,עוגת מוס - שוקולד ,48.3,Units,Units,,
1235,true,5001,עוגת היער השחור ,48.3,Units,Units,,
1236,true,5001,עוגת פירות ,48.3,Units,Units,,
1237,true,5001,עוגת  טירמיסו ,48.3,Units,Units,,
1238,true,5001,עוגת גבינה,48.3,Units,Units,,
1239,true,5001,"עוגה בחושה ע""ב שוקולד",35.9,Units,Units,,
1240,true,5001,"עוגה בחושה ע""ב פאדג' ",35.9,Units,Units,,
1241,true,5001,"עוגה בחושה ע""ב פרי ",35.9,Units,Units,,
1242,true,5001,"עוגה בחושה ע""ב חמאה ",35.9,Units,Units,,
1243,true,5001,"עוגה בחושה ע""ב פיסטוקים ",35.9,Units,Units,,
1244,true,5001,שמרים שוקולד פיצפוצים ,36.9,Units,Units,,
1245,true,5001,שמרים פרג ,36.9,Units,Units,,
1246,true,5001,שמרים אגוזים,36.9,Units,Units,,
1247,true,5001,שמרים גבינה ,36.9,Units,Units,,
1248,true,5001,שמרים חלבה,36.9,Units,Units,,
1249,true,5001,בראוניז  16 יח' במגש,98,Units,Units,,
1250,true,5001,פאי תותים  8 מנות ,117,Units,Units,,
1251,true,5001,פאי מרנג לימון  10 מנות ,79,Units,Units,,
1252,true,5001,טרפלס (כדורי שוקולד 25 גרם) - קוקוס / קקאו / סוכריות צבעוניות - 500 גרם כ - 20 כדורים,46,Units,Units,,
1253,true,5001,עוגת מוס שוקולד - יום הולדת ,135,Units,Units,,
1254,true,5001,שטרודל (קפוא לאפיה ביתית) - גבינה ,27.6,Units,Units,,shtrodeltapohachetz
1255,true,5001,גלידה - וניל  חלבי 4 ליטר ,87,Units,Units,,glidavanil
1256,true,5001,גלידה - שוקולד  חלבי 4 ליטר ,88,Units,Units,,
1257,true,5001,וופל גלידה - גביע,,Units,Units,,vafelglida
1258,true,5001,וופל אמריקאי 5 יח',19.7,Units,Units,,vafelbelgi
1259,true,5002,שטרודל (קפוא לאפיה ביתית) - פרג ,27.6,Units,Units,,
1260,true,5002,שטרודל (קפוא לאפיה ביתית) - תפוחים ,27.6,Units,Units,,
1261,true,5002,"פירות יער קפואים - פטל  2 ק""ג ",69.9,Units,Units,,
1262,true,5002,"פירות יער קפואים - דובדבן 2 ק""ג ",69.9,Units,Units,,
1263,true,5002,"פירות יער קפואים - דומדומיות שחורות ואדומות 2 ק""ג ",69.9,Units,Units,,
1264,true,5002,סורבט - תות 4 ליטר ,87,Units,Units,,surbettot
1265,true,5002,סורבט - מנגו 4 ליטר ,87,Units,Units,,
1266,true,5002,סורבט - פסיפלורה 4 ליטר ,87,Units,Units,,
1267,true,5002,גלידה - וניל  פרווה 4 ליטר ,79,Units,Units,,glidatvanilparve
1268,true,5002,גלידה - שוקו פרווה 4 ליטר ,79,Units,Units,,glidatshokoladparve
1269,true,5002,גלידה - תות שמנת פרווה 4 ליטר ,,Units,Units,,glidattotshamenet
1270,true,5002,מרנג לימון פס ,48,Units,Units,,
1271,true,5002,"טארט תפוחים ע""ב שקדים",48,Units,Units,,
1272,true,5002,פרלין מוס אגוזים (שכבות) ,56,Units,Units,,
1273,true,5002,סורבט מישמיש,,Units,Units,,surbetmishmish
1274,true,5002,סורבט תפוז סיני,,Units,Units,,surbettapuzsini
1275,true,5002,סורבט ערק אשכוליות,,Units,Units,,surbetarakeshkoliot
1276,true,5002,סורבט פטל,,Units,Units,,surbetpetel
1277,true,5002,סורבט ליצ'י,,Units,Units,,surbetlitshi
1278,true,5002,סורבט לימונענע,,Units,Units,,surbetlimonana
